,Restaurant Name,Location,Phone Number,Business Hours,Review Menu
74,그루비그루비(Groobgroobb),"44 ถนน เจริญราษฎร์ Bang Khlo, Bang Kho Laem, Bangkok 10120 태국",+66982414265,15:30-00:00 (월요일 휴무),"무늬바리회 (반마리/31000원), 타이거새우회(1마리/16500원),"
173,시드니피쉬마켓,"Corner Pyrmont Bridge Rd &, Bank St, Pyrmont NSW 2009 오스트레일리아",+61290041100,07:00-16:00,
37,주문진항샵20,강원 강릉시 하평길 68,033-651-1144,"17:00-22:00 (일, 월 휴무)","자연산 막회(소/45,000원), 매운탕(8,000원), 면사리(1,000원)"
150,부흥횟집,강원 동해시 일출로 93 부흥횟집,033-531-5209(바쁠 때 전화 잘 안 받는 것 같았음),"10:30-22:00(14:30-17:00 브레이크 타임), 첫 째주 일요일 휴무","회덮밥(15,000원), 물회(15,000원)"
22,봉포머구리집 본점,강원 속초시 영랑해안길 223 봉포머구리집,0507-1404-2026,매일 10:00-21:30,"전복물회(22,000원)"
114,초장집,강원 원주시 나비허리길 29 초장집,0507-1348-5408,17:00-04:00 일요일 휴무,"막회(2인/38,000원)"
11,우리송어양식장횟집,강원 춘천시 우묵길60번길 26,033-242-1143,11:30-21:00 (라스트오더 19:00),"송어회 무한리필(20,000원/3인이상) ※2인은 인당 3만원"
195,행복생선,경기 고양시 덕양구 지축1로 39 지축프라자 111호 1층,0507-1359-1496,15:00-23:00 (월요일 휴무),"오늘행복숙성회(소/35000원), 오늘행복초밥(23000원), 아귀간(12000원/회or초밥 주문시 주문가능)"
92,임가네 한우마을 본점,경기 고양시 덕양구 흥도로 443-12 임가네한우마을,031-968-3800,11:00-22:00,"육회비빔밥(8,000원), 갈비탕(8,000원), 육회(500g/24,000원), 육사시미(300g/36,000원)"
127,토오루,경기 고양시 일산동구 장백로 178 1층 108호,,,런치 오마카세 (1인/38000원)
39,상무초밥 라페스타점,경기 고양시 일산동구 중앙로1275번길 38-31 라페스타A 1층 101호,0507-1327-6148,매일 11:00 - 23:00 연중무휴,"모듬스시(11000원), 스시 모리아와세(18000원), 후토마끼(1줄/18000원)"
229,아라믌고기,경기 고양시 일산서구 경의로917번길 39 3동 1층,031-917-1217,11:30-22:00 (14:00-17:00 브레이크 타임),"범가자미(100g당 130,000원)"
200,향초초밥,경기 고양시 일산서구 호수로856번길 8-17,,11:30-22:00 (일요일 휴무),"모둠초밥(17000원), FULL초밥(25000원)"
70,가치,경기 구리시 안골로57번길 14-11 1층,0507-1457-7920,16:30-01:00 (월요일 휴무),"제철 모둠 사시미(2인/40000원), 참소라스미소아에(17000원)"
56,해신,경기 김포시 김포한강9로 79 104호 해신,0507-1402-4010,17:00-01:00(월요일 휴무),"스페셜 숙성 모둠회(66000원), 해신 매운탕 (21000원)"
171,돼지집,경기 김포시 풍무로 221,0507-1409-5436,10:30-22:00,"새우무한리필(29,900원), 머리튀김(3,000원)"
66,전류리사랑호,경기 김포시 하성면 금포로 1923 전류리 사랑호,0507-1444-3680,매일 09:30-21:00,"숭어1kg(12,000원), 야채상차림비(인당 2,000원), 숭어&참게장(18,000원)"
201,모에모에,경기 남양주시 도농로 29 B1층 모에모에,0507-1376-2504,17:00-01:00,"2인 모에모에 세트(49,000원)"
53,고래의 꿈,"경기 성남시 분당구 야탑로 247 1층 102호(야탑동, 지현프라자)",031-702-8886,17:00-24:00 (현재는 휴무 없음),"숙성회(중/70000원), 매운탕(10000원)"
94,오늘의회전초밥,경기 수원시 영통구 광교중앙로 170 b101호,0507-1332-9644,11:30-21:00(14:00-17:00 브레이크타임/수요일 휴무)+1월22일 설휴무,"후토마끼(2000원), 고등어봉초밥(2개/4000원), 한우스테이크군함초밥(2개/4000원), 단새우계란초밥(1개/4000원), 성게블랙타이거새우초밥(6000원)"
197,좋은소식,경기 수원시 영통구 매영로269번길 43,0507-1307-1228,11:30-21:00(브레이크타임 15:00-17:30/일월화 휴무),
51,쿄쿄식당,경기 수원시 영통구 반달로 28 1층 쿄쿄식당,0507-1347-0546,"17:00-24:00 (월, 화 휴무)","제철사시미(2인/35,000원), 봉골레나베(20,000원), 녹파주(15,000원), 크림게살코로케(7,000원)"
106,사계동,경기 수원시 영통구 센트럴파크로127번길 1,,11:30-21:30 (목요일 휴무),"참치덮밥(15000원), 사계동(25000원), 후토마끼(19000원)"
107,어풍당당 망포역점,경기 수원시 영통구 영통로214번길 13 1층,0507-1491-7750,14:00-01:00 (일요일 휴무),"무한리필(1인/32000원), 상차림비(1인/1000원)"
164,수산포차 청해,경기 수원시 영통구 영통로90번길 30,031-206-2325,매일 16:00-22:00,모둠회(3인/90000원)
152,아빠회사가,경기 수원시 영통구 청명남로50번길 5-10 1F,0507-1395-8876,10:00-23:30(일요일 휴무),
14,시골집우렁이쌈밥,경기 수원시 팔달구 행궁로84번길 10-8,,11:00-22:00 (브레이크 타임 15:30-16:30/일요일 휴무),무한리필 오마카세 2인(인당 45000원/현금가 40000원)
183,숙성회(네이버에 '정왕 숙성회'라 치면 쉽게 나옴),경기 시흥시 오동마을로5번길 42 1층 숙성회,0507-1423-2227,11:00-23:00(매주 목요일 휴무),"모듬 숙성회(25,000원), 물회(13,000원), 카리카리오징어튀김(15,000원)"
206,남도횟집,경기 안산시 상록구 예술광장로 29,031-413-7010,12:30-23:00 (낮에 방문시 예약 필수/휴무는 문의),(120000원)
231,스시바이킹(안산점),경기 안산시 상록구 항가울로 422 롯데마트 4층,0507-1359-0101,12:00-21:00 매일(평일 런치는 퇴장시간 기준으로 금액이 적용됨),주말런치(1인/29900원)
50,방축역돔횟집,경기 안성시 양성면 동항리 642-2 방축역돔횟집,031-673-4780,"매일 10:00 - 20:00 (명절, 연휴기간 휴무/방문전 전화추천)","역돔회(1kg/18000원), 회무침(1kg/20000원) 매운탕(7000원)"
93,무스비,경기 안양시 동안구 인덕원로 12 1층 103호 무스비,0507-1427-0726,"18:00-01:00 일요일 휴무, 10/31 휴무","숙성회 2인(38,000원), 라구나스텐(20,000원), 탄탄 니꾸우동(17,000원)"
131,쿠우쿠우 골드 민락점,경기 의정부시 천보로 56 해동2타워 9층,031-852-6279,매일 11:00-21:50,"주말성인(1인 31,900원)"
55,키누카누 파주점,경기 파주시 경의로 1074 5층,031-942-9495,매일 11:30-22:00,"주말&공휴일 (인당 29,900원)"
134,킬맨참치 야당점,경기 파주시 경의로 1102 유은타워 1차 101호,0507-1318-2668,16:00-01:00 (화요일 휴무),"무한리필A(인당/19,000원)"
143,랍다횟집,경기 파주시 송학1길 45-1,031-947-1217,"17:00-24:00(일요일 휴무), 7월25일~7월28일까지 휴가",2번 모둠회(80000원)
225,삿뽀로 하남점,경기 하남시 미사대로 464 2층,031-796-0065,,
135,참조은하루,경기도 고양시 일산동구 중산동 1578,031-975-7219,,
179,통영문참치 본점,경남 거제시 고현동 971-9 2층,055-633-5846,12:00-22:00(14:30-17:00 브레이크타임/월휴무),"코스C 2인분(인당90,000원)"
220,명화식당,경남 거제시 동부면 동부로 15,055-633-2985,매일 12:00 - 19:00 부정기적 휴무,
48,맥시칸치킨 성포점,경남 거제시 사등면 성포리 350-9,055-633-7307,,
233,효진수산횟집,경남 거제시 장목면 외포5길 58 효진수산횟집,055-636-9006,매일 08:00-21:00,"멸치코스(1인/20,000원) 2인부터 주문 가능"
146,나산집,경남 사천시 곤양면 단숙길 4 나산집,0507-1332-2969,10:30-19:00(15:00-17:00 브레이크타임),장어구이백반4인분(1인/15000원)
120,도시크랩&크랩 직판장,"경남 양산시 물금읍 범어로 106 1층 117,118호 도시크랩 크랩직판장",0507-1357-4684,17:00-23:00 (주말은 13:00부터),"대게 3KG(1KG당/59000원), 기본상차림비(1인/6000원), 대게라면(7000원), 대게내장 볶음밥(5000원)"
187,해송복국,경남 양산시 평산로 45-10 1층,050-4110-2780,10:00-22:00 (점심특선은 11:00-15:00까지만 가능),회정식(1인/15000원)
162,스시쿄우다이,경남 진주시 새들말로 34-4 110호 스시쿄우다이,0507-1362-7532,11:30-22:00 (15:30-17:30 브레이크 타임/월 휴무),시그니처
219,고가네,경남 창원시 마산합포구 동서북11길 2,055-221-8877,"17:30-22:00(1,3째 일요일 휴무)","초밥(13개/10000원), 학꽁치회(15000원),보리새우구이(20000원)"
33,노다지횟집,경남 창원시 마산합포구 산호남로 61-1,055-244-4007,11:20-22:00(월요일 휴무),특선코스A(12000원)
170,비진도횟집,경남 창원시 마산회원구 회원남로 14 삼보빌딩,055-246-3070,11:00-20:00(변동될 가능성 있기에 식당에 문의),"회덮밥(1인/8000원), 모둠회(소/35000원)"
174,용원횟집,경남 창원시 진해구 용원동로 242-6 용원횟집,055-547-0455,매일 10:00-20:00(브레이크타임 없음),
109,동부회센타,경남 창원시 진해구 천자로 5,055-541-0932,11:30-22:00(매주 화요일 휴무),"모둠회(소/10000원), 해산물모듬(20000원), 잡어물회(중/23000원)"
226,도남회식당,경남 통영시 동호안길 29-5,010-2067-6579,새벽부터 오후 1-2시까지,회정식(1인분/8000원)
137,용산회식당,경북 경주시 내남면 포석로 112,054-748-2119,08:30-14:00(월휴무/재료 소진시 일찍 영업종료 할 수 있음),회덮밥(12000원)
180,삐에노 스테이크 뷔페,경북 구미시 산동읍 신당1로4길 5-6 2층,0507-1415-0510,"평일 17:00-21:00 주말 11:30-21:30(15:00-17:00/브레이크타임), 월 화 휴무",평일 (33000원/1인)
232,바다회백화점,경북 안동시 경동로 960,054-821-7900,11:00-23:00,"모듬회(중/50,000원)-포장가격"
63,쏙물회(전/바다정원),경북 영덕군 강구면 영덕대게로 453,,,"컵물회(8000원), 샷추가(2000원)"
